,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
1554,ArgR-arg DNA-binding-site (BS0-9161),javascript:void(0);,DNA-Binding-Sites,"(4294288, 4294327)",,,
1555,NhaR-Na+ DNA-binding-site regulating rrsAp1,TU0-1181,DNA-Binding-Sites,,+,rrsA-ileT-alaT-rrlA-rrfA,TU0-1181
1556,Nac DNA-binding-site (BS0-9853),javascript:void(0);,DNA-Binding-Sites,"(115388, 115405)",,,
1557,Fnr DNA-binding-site 148.5 bases upstream of tdcAp,TU00125,DNA-Binding-Sites,"(3267235, 3267249)",-,tdcABCDEFG,TU00125
1558,Fnr DNA-binding-site 114.5 bases upstream of fumBp,TU00159,DNA-Binding-Sites,"(4347456, 4347470)",-,fumB,TU00159
1559,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of bglGp2,TU0-42564,DNA-Binding-Sites,"(3906748, 3906770)",-,bglG; bglG; bglGFB,TU0-42564; TU0-42515; TU0-4802
1560,NsrR DNA-binding-site 184 bases upstream of feaBp1,TU0-8795,DNA-Binding-Sites,"(1447303, 1447314)",+,feaB,TU0-8795
1561,Lrp-leu DNA-binding-site 167.5 bases downstream of ilvLp2,TU0-42517,DNA-Binding-Sites,"(3950451, 3950463)",+,ilvL; ilvLXG_1G_2MEDA,TU0-42517; TU525
1562,YefM DNA-binding-site 2.5 bases downstream of yefMp,TU0-13493,DNA-Binding-Sites,"(2089725, 2089739)",-,yefM-yoeB,TU0-13493
1563,Lrp DNA-binding-site (BS0-10314),javascript:void(0);,DNA-Binding-Sites,,,,
1564,XylR-xylose DNA-binding-site 19.5 bases upstream of araCp,TU00003,DNA-Binding-Sites,"(70195, 70213)",+,araC,TU00003
1565,ArcA-Pasp54 DNA-binding-site regulating kgtP,TU0-13674,DNA-Binding-Sites,"(2725807, 2725822)",-,kgtP,TU0-13674
1566,FlhDC DNA-binding-site (BS0-10748),javascript:void(0);,DNA-Binding-Sites,"(2533990, 2534033)",,,
1567,Nac DNA-binding-site (BS0-9837),javascript:void(0);,DNA-Binding-Sites,"(3050824, 3050841)",,,
1568,PepA DNA-binding-site 79 bases upstream of carAp1,TU00110,DNA-Binding-Sites,"(29459, 29486)",+,carAB,TU00110
1569,CspA DNA-binding-site 60 bases upstream of gyrAp,TU00140,DNA-Binding-Sites,"(2339514, 2339521)",-,gyrA,TU00140
1570,NagC DNA-binding-site 112 bases upstream of chbBp,TU00248,DNA-Binding-Sites,"(1821827, 1821850)",-,chbBCARFG,TU00248
1571,RutR DNA-binding-site 172.5 bases downstream of fepBp,TU00164,DNA-Binding-Sites,"(624548, 624564)",-,fepB,TU00164
1572,Fis DNA-binding-site 93.5 bases upstream of hupAp,TU486,DNA-Binding-Sites,"(4200075, 4200090)",+,hupA,TU486
1573,GadW DNA-binding-site 78 bases upstream of gadAp2,TU0-45268,DNA-Binding-Sites,"(3667676, 3667695)",-,gadAX; gadAX,TU0-45268; TU586
1574,Lrp DNA-binding-site (BS0-10298),javascript:void(0);,DNA-Binding-Sites,,,,
1575,YjjQ DNA-binding-site 6 bases upstream of ymiAp,TU0-13198,DNA-Binding-Sites,"(1335077, 1335092)",+,ymiA-yciX,TU0-13198
1576,Phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 37 bases downstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103303, 1103314)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
1577,CpxR-phosphorylated DNA-binding-site (BS0-10731),javascript:void(0);,DNA-Binding-Sites,"(179190, 179206)",,,
1578,Nac DNA-binding-site (BS0-9821),javascript:void(0);,DNA-Binding-Sites,"(3708184, 3708201)",,,
1579,ArcA-Pasp54 DNA-binding-site regulating rpsJp,TU00347,DNA-Binding-Sites,,-,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,TU00347
1580,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 43.5 bases upstream of tdcAp,TU00125,DNA-Binding-Sites,"(3267126, 3267148)",-,tdcABCDEFG,TU00125
1581,ArcA-Pasp54 DNA-binding-site 304 bases upstream of cydAp1,TU00100,DNA-Binding-Sites,"(770859, 770874)",+,cydAB,TU00100
1582,Lrp DNA-binding-site 32 bases downstream of lrpp,TU00181,DNA-Binding-Sites,"(932351, 932368)",+,lrp,TU00181
1583,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 7 bases downstream of dadAp2,TU00255,DNA-Binding-Sites,"(1237520, 1237542)",+,dadAX,TU00255
1584,MntR DNA-binding-site 17.5 bases upstream of dpsp2,TU0-45200,DNA-Binding-Sites,"(848957, 848979)",-,dps; dps,TU0-45200; TU00176
1585,Lrp DNA-binding-site (BS0-10282),javascript:void(0);,DNA-Binding-Sites,,,,
1586,IHF DNA-binding-site 140 bases downstream of proVp3,TU702,DNA-Binding-Sites,"(2804887, 2804902)",+,proVWX,TU702
1587,YcjW DNA-binding-site regulating ycjMNOPQRSTUV-ymjB-ompG,TU0-13212,DNA-Binding-Sites,"(1370190, 1370204)",+,ycjMNOPQRSTUV-ymjB-ompG,TU0-13212
1588,CpxR-phosphorylated DNA-binding-site (BS0-10715),javascript:void(0);,DNA-Binding-Sites,"(1447499, 1447515)",,,
1589,Nac DNA-binding-site (BS0-9806),javascript:void(0);,DNA-Binding-Sites,"(2065895, 2065912)",,,
1590,Fnr DNA-binding-site regulating emrKp,TU0-3101,DNA-Binding-Sites,,-,emrKY,TU0-3101
1591,AraC-arabinose DNA-binding-site 64 bases upstream of araJp,TU00099,DNA-Binding-Sites,"(412585, 412602)",-,araJ,TU00099
1592,ArcA-Pasp54 DNA-binding-site 28 bases downstream of caiTp,TU00247,DNA-Binding-Sites,"(42003, 42018)",-,caiTABCDE,TU00247
1593,NarL-Pasp59 DNA-binding-site 16 bases upstream of ydhYp,TU0-14675,DNA-Binding-Sites,"(1754655, 1754662)",-,ydhYVWXUT,TU0-14675
1594,Lrp DNA-binding-site 143 bases downstream of ompCp3,TU00477,DNA-Binding-Sites,"(2312738, 2312753)",-,ompC; ompC; ompC,TU00477; TU00476; TU00049
1595,AdiY DNA-binding-site regulating gadBp2,TU0-45231,DNA-Binding-Sites,,-,gadBC; gadBC,TU0-45231; TU369
1596,Lrp DNA-binding-site (BS0-10266),javascript:void(0);,DNA-Binding-Sites,,,,
1597,CpxR-phosphorylated DNA-binding-site 29 bases upstream of marRp,TU00190,DNA-Binding-Sites,"(1619057, 1619072)",+,marRAB,TU00190
1598,GlaR DNA-binding-site regulating yjfY,TU0-8613,DNA-Binding-Sites,"(4424691, 4424706)",-,yjfY,TU0-8613
1599,CpxR-phosphorylated DNA-binding-site (BS0-10699),javascript:void(0);,DNA-Binding-Sites,"(3785130, 3785146)",,,
1600,Nac DNA-binding-site (BS0-9790),javascript:void(0);,DNA-Binding-Sites,"(3903202, 3903219)",,,
1601,PhoP-Pasp51 DNA-binding-site 32 bases downstream of acrAp,TU00233,DNA-Binding-Sites,"(485659, 485676)",-,acrAB,TU00233
1602,PhoB-Pasp53 DNA-binding-site 113 bases upstream of phoEp,TU00086,DNA-Binding-Sites,"(260261, 260281)",-,phoE,TU00086
1603,Fis DNA-binding-site 243 bases upstream of hnsp,TU00139,DNA-Binding-Sites,"(1293194, 1293209)",-,hns,TU00139
1604,Lrp-leu DNA-binding-site 116 bases upstream of hdeAp2,TU0-45242,DNA-Binding-Sites,"(3656900, 3656915)",-,hdeAB-yhiD; hdeAB-yhiD,TU0-45242; TU00282
1605,DNA-binding transcriptional activator XapR DNA-binding-site 119 bases upstream of xapAp2,TU0-45226,DNA-Binding-Sites,"(2525023, 2525036)",-,xapAB; xapAB,TU0-45226; TU301
1606,Cra DNA-binding-site 91.5 bases upstream of tpiAp,TU0-45203,DNA-Binding-Sites,"(4111652, 4111670)",-,tpiA; tpiA,TU0-45203; TU0-14668
1607,Lrp DNA-binding-site (BS0-10250),javascript:void(0);,DNA-Binding-Sites,,,,
1608,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of chiZp,TU0-13021,DNA-Binding-Sites,"(708158, 708174)",+,chiZPQ,TU0-13021
1609,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating rihA,TU0-13014,DNA-Binding-Sites,"(684435, 684457)",-,rihA,TU0-13014
1610,CpxR-phosphorylated DNA-binding-site (BS0-10683),javascript:void(0);,DNA-Binding-Sites,"(3418817, 3418833)",,,
1611,Nac DNA-binding-site (BS0-9774),javascript:void(0);,DNA-Binding-Sites,"(2497788, 2497805)",,,
1612,NarL-Pasp59 DNA-binding-site 12 bases upstream of frdAp2,TU0-45225,DNA-Binding-Sites,"(4382421, 4382428)",-,frdABCD; frdABCD,TU0-45225; TU00023
1613,CysB DNA-binding-site 14 bases upstream of cysBp,TU00077,DNA-Binding-Sites,"(1333751, 1333797)",+,cysB,TU00077
1614,Fnr DNA-binding-site 24.5 bases upstream of hemAp1,TU0-4201,DNA-Binding-Sites,"(1263645, 1263659)",+,hemA-prfA-prmC,TU0-4201
1615,Fis DNA-binding-site 103 bases upstream of narGp,TU00044,DNA-Binding-Sites,"(1279697, 1279712)",+,narGHJI,TU00044
1616,DNA-binding transcriptional dual regulator CysB DNA-binding-site 38 bases upstream of tauAp,TU302,DNA-Binding-Sites,"(385146, 385188)",+,tauABCD,TU302
1617,NfeR DNA-binding-site 7 bases upstream of nfeRp,TU0-8658,DNA-Binding-Sites,"(3216731, 3216762)",+,nfeR,TU0-8658
1618,Lrp DNA-binding-site (BS0-10234),javascript:void(0);,DNA-Binding-Sites,,,,
1619,HipAB DNA-binding-site 5 bases downstream of relAp1,TU521,DNA-Binding-Sites,"(2913809, 2913842)",-,relA-mazEF,TU521
1620,Nac DNA-binding-site regulating yjgN,TU0-8620,DNA-Binding-Sites,"(4479689, 4479706)",,yjgN; yjgM,TU0-8620; TU0-8619
1621,YiaU DNA-binding-site regulating yiaWV,TU0-13986,DNA-Binding-Sites,"(3754508, 3754526)",-,yiaWV,TU0-13986
1622,Lrp DNA-binding-site (BS0-9758),javascript:void(0);,DNA-Binding-Sites,"(2416951, 2416966)",,,
1623,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of ompFp2,TU0-45229,DNA-Binding-Sites,"(987134, 987156)",-,ompF; ompF,TU0-45229; TU00050
1624,DNA-binding transcriptional dual regulator Fur DNA-binding-site 42 bases upstream of sodAp,TU00064,DNA-Binding-Sites,"(4100708, 4100727)",+,sodA,TU00064
1625,SdiA DNA-binding-site 161.5 bases upstream of ftsQp,TU0-45271,DNA-Binding-Sites,"(102697, 102715)",+,ftsQAZ; ftsQ; ftsQAZ,TU0-45271; TU0-3941; TU00210
1626,Fis DNA-binding-site 120 bases upstream of glcCp,TU0-1963,DNA-Binding-Sites,"(3128079, 3128094)",+,glcC,TU0-1963
1627,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 126.5 bases upstream of gntPp,TU0-4961,DNA-Binding-Sites,"(4551450, 4551472)",-,gntP; uxuAB,TU0-4961; TU101
1628,McbR DNA-binding-site 88.5 bases upstream of yciGp,TU0-36408,DNA-Binding-Sites,"(1316170, 1316192)",-,yciG; yciGFE,TU0-36408; TU0-13193
1629,IHF DNA-binding-site 22 bases upstream of dmsAp2,TU0-1122,DNA-Binding-Sites,"(940850, 940863)",+,dmsABC,TU0-1122
1630,FeaR DNA-binding-site 43 bases upstream of tynAp,TU0-42552,DNA-Binding-Sites,"(1451442, 1451463)",-,tynA,TU0-42552
1631,Nac DNA-binding-site regulating yhbX,TU0-13882,DNA-Binding-Sites,"(3321211, 3321228)",-,yhbX,TU0-13882
1632,H-NS DNA-binding-site (BS0-10651),javascript:void(0);,DNA-Binding-Sites,,,,
1633,Lrp DNA-binding-site (BS0-9742),javascript:void(0);,DNA-Binding-Sites,"(2928004, 2928019)",,,
1634,DNA-binding transcriptional dual regulator Fur DNA-binding-site 115 bases downstream of flhDp,TU00136,DNA-Binding-Sites,"(1978272, 1978291)",-,flhDC,TU00136
1635,OmpR-P DNA-binding-site 70.5 bases upstream of ompFp2,TU0-45229,DNA-Binding-Sites,"(987153, 987173)",-,ompF; ompF,TU0-45229; TU00050
1636,Pasp56 RcsB DNA-binding-site 41.5 bases upstream of osmCp1,TU0-1761,DNA-Binding-Sites,"(1556548, 1556562)",+,osmC,TU0-1761
1637,Fis DNA-binding-site 83 bases upstream of cspIp1,TU0-6981,DNA-Binding-Sites,"(1638888, 1638903)",-,cspI,TU0-6981
1638,NarL-Pasp59 DNA-binding-site 89 bases upstream of narGp,TU00044,DNA-Binding-Sites,"(1279715, 1279722)",+,narGHJI,TU00044
1639,CpxR-phosphorylated DNA-binding-site 129.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103466, 1103482)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
1640,Lrp DNA-binding-site (BS0-10205),javascript:void(0);,DNA-Binding-Sites,,,,
1641,ArcA-Pasp54 DNA-binding-site regulating gadEp1,TU0-4901,DNA-Binding-Sites,,+,gadEF,TU0-4901
1642,Nac DNA-binding-site regulating yeiH,TU0-13542,DNA-Binding-Sites,"(2249633, 2249650)",,yeiH; yeiE,TU0-13542; TU0-13541
1643,H-NS DNA-binding-site (BS0-10637),javascript:void(0);,DNA-Binding-Sites,,,,
1644,Lrp DNA-binding-site (BS0-9726),javascript:void(0);,DNA-Binding-Sites,"(85352, 85367)",,,
1645,NarP-Pasp59 DNA-binding-site 109 bases upstream of fdnGp,TU00157,DNA-Binding-Sites,"(1547255, 1547271)",+,fdnGHI,TU00157
1646,NarL-Pasp59 DNA-binding-site 98 bases upstream of narKp1,TU00045,DNA-Binding-Sites,"(1277831, 1277838)",+,narK,TU00045
1647,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of acsp,TU0-45241,DNA-Binding-Sites,"(4287450, 4287472)",-,acs-yjcHG; acs-yjcHG,TU0-45241; TU0-3723
1648,Fis DNA-binding-site 27 bases upstream of fadBp,TU00215,DNA-Binding-Sites,"(4031031, 4031050)",-,fadBA,TU00215
1649,Fis DNA-binding-site 76 bases upstream of proKp,TU00519,DNA-Binding-Sites,"(3708763, 3708778)",-,proK,TU00519
1650,DNA-binding transcriptional dual regulator Fur DNA-binding-site 156 bases downstream of gspCp3,TU0-13913,DNA-Binding-Sites,"(3455677, 3455696)",+,gspCDEFGHIJKLMO,TU0-13913
1651,Lrp DNA-binding-site (BS0-10189),javascript:void(0);,DNA-Binding-Sites,,,,
1652,CpxR-phosphorylated DNA-binding-site 52 bases upstream of sltp7,TU0-14226,DNA-Binding-Sites,"(4630641, 4630656)",+,slt,TU0-14226
1653,OmpR-P DNA-binding-site (BS0-10622),javascript:void(0);,DNA-Binding-Sites,,,,
1654,Nac DNA-binding-site regulating ybhI,TU0-13043,DNA-Binding-Sites,"(801889, 801906)",+,ybhI,TU0-13043
1655,CpxR-phosphorylated DNA-binding-site 159 bases upstream of sbmAp,TU0-3426,DNA-Binding-Sites,"(396387, 396402)",+,sbmA-yaiW,TU0-3426
1656,YafC DNA-binding-site (BS0-10619),javascript:void(0);,DNA-Binding-Sites,,,,
1657,Nac DNA-binding-site regulating ybeT,TU0-8562,DNA-Binding-Sites,"(679645, 679662)",-,ybeT,TU0-8562
1658,Fnr DNA-binding-site (BS0-9707),javascript:void(0);,DNA-Binding-Sites,"(2564382, 2564397)",,,
1659,Fis DNA-binding-site 22 bases downstream of xylFp,TU00374,DNA-Binding-Sites,"(3731081, 3731100)",+,xylFGHR,TU00374
1660,LacI DNA-binding-site 11 bases downstream of lacZp1,TU00036,DNA-Binding-Sites,"(366323, 366344)",-,lacZYA,TU00036
1661,Fis DNA-binding-site 71 bases upstream of rrsGp,TU0-45198,DNA-Binding-Sites,"(2731512, 2731527)",-,rrsG-gltW-rrlG-rrfG; rrsG-gltW-rrlG-rrfG,TU0-45198; TU0-1187
1662,EvgA-Pasp DNA-binding-site 51.5 bases upstream of safAp,TU0-14545,DNA-Binding-Sites,"(1584071, 1584089)",-,safA-ydeO,TU0-14545
1663,Fis DNA-binding-site 113 bases upstream of aldBp,TU00138,DNA-Binding-Sites,"(3756641, 3756656)",-,aldB,TU00138
1664,MqsA DNA-binding-site 42 bases downstream of mqsRp1,TU0-13832,DNA-Binding-Sites,"(3168605, 3168620)",-,mqsRA,TU0-13832
1665,Lrp DNA-binding-site (BS0-10169),javascript:void(0);,DNA-Binding-Sites,,,,
1666,DnaA-ATP DNA-binding-site 61 bases upstream of dnaAp2,TU593,DNA-Binding-Sites,"(3883939, 3883948)",-,dnaAN-recF,TU593
1667,YeiE DNA-binding-site (BS0-10604),javascript:void(0);,DNA-Binding-Sites,,,,
1668,Nac DNA-binding-site regulating torI,TU0-13607,DNA-Binding-Sites,"(2476418, 2476435)",+,torI,TU0-13607
1669,Fnr DNA-binding-site (BS0-9691),javascript:void(0);,DNA-Binding-Sites,"(954751, 954766)",,,
1670,PhoP-Pasp51 DNA-binding-site 28 bases upstream of yrbLp,TU0-7781,DNA-Binding-Sites,"(3348385, 3348402)",+,yrbL,TU0-7781
1671,NtrC-Pasp DNA-binding-site 108 bases upstream of glnAp2,TU0-5903,DNA-Binding-Sites,"(4058207, 4058224)",-,glnAZ; glnAZLG; glnAZ; glnAZLG,TU0-5903; TU00029; TU0-5901; TU00027
1672,Fis DNA-binding-site 70 bases upstream of rrsCp,TU0-45209,DNA-Binding-Sites,"(3941439, 3941454)",+,rrsC-gltU-rrlC-rrfC; rrsC-gltU-rrlC-rrfC,TU0-45209; TU0-1183
1673,NarP-Pasp59 DNA-binding-site 39 bases upstream of yeaRp,TU0-13407,DNA-Binding-Sites,"(1880025, 1880041)",-,yeaR-yoaG,TU0-13407
1674,PhoB-Pasp53 DNA-binding-site 30 bases upstream of ugpBp1,TU0-5981,DNA-Binding-Sites,"(3592399, 3592418)",-,ugpBAECQ,TU0-5981
1675,OxyR DNA-binding-site 5 bases downstream of oxyRp2,TU0-45266,DNA-Binding-Sites,"(4158453, 4158470)",+,oxyR; oxyS; oxyR,TU0-45266; TU0-8485; TU00051
1676,PspF DNA-binding-site 27 bases downstream of pspFp1,TU0-1802,DNA-Binding-Sites,"(1367911, 1367928)",-,pspF; pspABCDE,TU0-1802; TU00326
1677,Nac DNA-binding-site (BS0-10059),javascript:void(0);,DNA-Binding-Sites,"(4439381, 4439398)",,,
1678,RcdA DNA-binding-site regulating ydeIp5,TU0-41801,DNA-Binding-Sites,,-,ydeI,TU0-41801
1679,TorR-Pasp DNA-binding-site (BS0-10587),javascript:void(0);,DNA-Binding-Sites,,,,
1680,Nac DNA-binding-site regulating mdtG,TU0-13125,DNA-Binding-Sites,"(1115525, 1115542)",-,mdtG,TU0-13125
1681,Fnr DNA-binding-site (BS0-9675),javascript:void(0);,DNA-Binding-Sites,"(4640612, 4640627)",,,
1682,Fnr DNA-binding-site 131.5 bases upstream of glpTQp,TU00216,DNA-Binding-Sites,"(2352576, 2352590)",-,glpTQ; glpABC,TU00216; TU00030
1683,NarL-Pasp59 DNA-binding-site 27 bases upstream of dmsAp1,TU00019,DNA-Binding-Sites,"(940793, 940800)",+,dmsABC,TU00019
1684,IHF DNA-binding-site 61 bases upstream of sodBp,TU0-1681,DNA-Binding-Sites,"(1735256, 1735269)",+,sodB,TU0-1681
1685,IHF DNA-binding-site 576 bases upstream of fimBp2,TU00410,DNA-Binding-Sites,"(4540085, 4540098)",+,fimB,TU00410
1686,MetR-L-homocysteine DNA-binding-site 121 bases upstream of glyAp,TU00192,DNA-Binding-Sites,"(2685688, 2685703)",-,glyA,TU00192
1687,OxyR DNA-binding-site 232 bases upstream of sufAp,TU0-2621,DNA-Binding-Sites,"(1764642, 1764659)",-,sufABCDSE,TU0-2621
1688,Fnr DNA-binding-site 72.5 bases upstream of hcpp1,TU0-42650,DNA-Binding-Sites,"(913911, 913925)",-,hcp-hcr-poxB; hcp-hcr,TU0-42650; TU0-7021
1689,Nac DNA-binding-site (BS0-10043),javascript:void(0);,DNA-Binding-Sites,"(4526103, 4526120)",,,
1690,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 4 bases downstream of ycdZp4,TU0-13121,DNA-Binding-Sites,"(1100244, 1100266)",+,ycdZ,TU0-13121
1691,FlhDC DNA-binding-site regulating ymdAp,TU0-42664,DNA-Binding-Sites,,+,ymdAB-clsC,TU0-42664
1692,Nac DNA-binding-site regulating cysQ,TU0-14162,DNA-Binding-Sites,"(4436611, 4436628)",+,cysQ,TU0-14162
1693,GlaR DNA-binding-site (BS0-9659),javascript:void(0);,DNA-Binding-Sites,"(2388559, 2388574)",,,
1694,BirA-bio-5'-AMP DNA-binding-site 11.5 bases downstream of bioAp,TU00013,DNA-Binding-Sites,"(809262, 809302)",-,bioA; bioBFCD,TU00013; TU00117
1695,ArcA-Pasp54 DNA-binding-site regulating cydAp3,TU0-3161,DNA-Binding-Sites,,+,cydAB,TU0-3161
1696,NrdR transcriptional repressor DNA-binding-site 22.5 bases upstream of nrdDp,TU0-4783,DNA-Binding-Sites,"(4462853, 4462869)",-,nrdDG,TU0-4783
1697,ArcA-Pasp54 DNA-binding-site 3 bases downstream of betTp,TU00116,DNA-Binding-Sites,"(329416, 329431)",+,betT,TU00116
1698,DNA-binding transcriptional dual regulator Fur DNA-binding-site 71 bases upstream of ftnAp,TU0-13449,DNA-Binding-Sites,"(1988602, 1988621)",+,ftnA,TU0-13449
1699,H-NS DNA-binding-site 2 bases upstream of galEp,TU0-45179,DNA-Binding-Sites,"(792076, 792091)",-,galETKM; galE; galET; galETK; galETK; galET; galE; galETKM,TU0-45179; TU0-45178; TU0-45177; TU0-45176; TU0-42583; TU0-42581; TU0-42578; TU00025
1700,Nac DNA-binding-site (BS0-10027),javascript:void(0);,DNA-Binding-Sites,"(3836138, 3836155)",,,
1701,BasR-Pasp51 DNA-binding-site regulating arnBCADTEF,TU0-13569,DNA-Binding-Sites,"(2365813, 2365833)",+,arnBCADTEF,TU0-13569
1702,RpoN DNA-binding-site (BS0-10548),javascript:void(0);,DNA-Binding-Sites,,,,
1703,McbR DNA-binding-site regulating rsdp2,TU787,DNA-Binding-Sites,,-,rsd,TU787
1704,GlaR DNA-binding-site (BS0-9643),javascript:void(0);,DNA-Binding-Sites,"(2112963, 2112978)",,,
1705,ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1,TU00226,DNA-Binding-Sites,"(4154895, 4154913)",-,argE; argCBH,TU00226; TU00004
1706,NarL-Pasp59 DNA-binding-site 24 bases downstream of dcuBp1,TU00468,DNA-Binding-Sites,"(4348738, 4348745)",-,dcuB-fumB,TU00468
1707,ArcA-Pasp54 DNA-binding-site 10 bases downstream of lldPp,TU164,DNA-Binding-Sites,"(3777291, 3777306)",+,lldPRD,TU164
1708,H-NS DNA-binding-site regulating cspDp,TU0-6486,DNA-Binding-Sites,,-,cspD,TU0-6486
1709,AgaR DNA-binding-site 3.5 bases downstream of kbaZp,TU0-6581,DNA-Binding-Sites,"(3278859, 3278879)",+,kbaZ-agaVWA,TU0-6581
1710,Nac DNA-binding-site (BS0-10012),javascript:void(0);,DNA-Binding-Sites,"(2800087, 2800104)",,,
1711,GlrR-Pasp56 DNA-binding-site 221.5 bases upstream of glmYp1,TU0-13666,DNA-Binding-Sites,"(2691553, 2691571)",-,glmY,TU0-13666
1712,Lrp-leu DNA-binding-site 73 bases upstream of rrsAp,TU0-45165,DNA-Binding-Sites,"(4035160, 4035172)",+,rrsA-ileT-alaT-rrlA-rrfA; rrsA-ileT-alaT-rrlA-rrfA,TU0-45165; TU0-1181
1713,YfeC DNA-binding-site (BS0-10520),javascript:void(0);,DNA-Binding-Sites,"(2971183, 2971220)",,,
1714,DnaA-ATP DNA-binding-site 148 bases upstream of uvrBp2,TU00070,DNA-Binding-Sites,"(813310, 813319)",+,uvrB,TU00070
1715,GlaR DNA-binding-site (BS0-9627),javascript:void(0);,DNA-Binding-Sites,"(154968, 154983)",,,
1716,Nac DNA-binding-site (BS0-9991),javascript:void(0);,DNA-Binding-Sites,"(1421154, 1421171)",,,
1717,Fis DNA-binding-site 62 bases upstream of gyrBp2,TU0-45206,DNA-Binding-Sites,"(3880205, 3880220)",-,gyrB; gyrB,TU0-45206; TU0-2603
1718,Cra DNA-binding-site 7.5 bases downstream of hypFp3,TU0-14407,DNA-Binding-Sites,"(2838090, 2838108)",-,hypF; hypF,TU0-14407; TU0-14406
1719,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rpoSp,TU00442,DNA-Binding-Sites,"(2868170, 2868192)",-,rpoS,TU00442
1720,IHF DNA-binding-site 62 bases upstream of rtcBp,TU61,DNA-Binding-Sites,"(3558163, 3558176)",-,rtcBA,TU61
1721,NarL-Pasp59 DNA-binding-site 69 bases upstream of norVp,TU0-4441,DNA-Binding-Sites,"(2832367, 2832374)",+,norVW,TU0-4441
1722,CytR DNA-binding-site 82.5 bases upstream of cddp,TU841,DNA-Binding-Sites,"(2231729, 2231745)",+,cdd,TU841
1723,MatA DNA-binding-site regulating fliAp1,TU00415,DNA-Binding-Sites,,-,fliAZY,TU00415
1724,ZraR-Pasp56 DNA-binding-site (BS0-10494),javascript:void(0);,DNA-Binding-Sites,"(3664641, 3664659)",,,
1725,DNA-binding transcriptional dual regulator IscR DNA-binding-site regulating torT,TU0-8530,DNA-Binding-Sites,"(1056235, 1056260)",+,torT,TU0-8530
1726,GlaR DNA-binding-site (BS0-9611),javascript:void(0);,DNA-Binding-Sites,"(121903, 121918)",,,
1727,NarL-Pasp59 DNA-binding-site 76 bases upstream of hybOp1,TU00289,DNA-Binding-Sites,"(3146436, 3146443)",-,hybOABCDEFG,TU00289
1728,Cra DNA-binding-site 43.5 bases upstream of gapAp,TU0-45263,DNA-Binding-Sites,"(1862683, 1862701)",+,gapA; gapA; gapA; gapA-yeaD; gapA,TU0-45263; TU0-4907; TU0-4906; TU0-4904; TU0-4905
1729,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of glgSp1,TU00279,DNA-Binding-Sites,"(3192042, 3192064)",-,glgS,TU00279
1730,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of fucPp,TU00128,DNA-Binding-Sites,"(2934028, 2934050)",+,fucPIKUR,TU00128
